Solozeroth adds new objects to the database. The new entry/ID numbers start here:  

`creature_template`.`entry` = 251001
`page_text`.`ID` = 4001 (skip 5 between books to easily allow for extra pages in the future)

`item_template`.`entry`: 
To have a new item display properly, the client needs to 'jibe' with the info on the server. 
A simple way to do that is to use some of the unused items that the client already knows about. 
Below is a list of all available items. I have prepended the ones I have used with 
USED(<short description of the new item>) for easy lookups.

List created by Rochet2
Updated list for TC TDB at: http://pastebin.com/hyNUYtMj
Note: Usability in combat of all Consumbables is decided by the spell assigned.

Entry, Class, Subclass, Name
33623, 0, 0, Consumable
23640, 0, 0, Consumable
33624, 0, 0, Consumable
23641, 0, 0, Consumable
33625, 0, 0, Consumable
33626, 0, 0, Consumable
38236, 0, 0, Consumable
13149, 0, 0, Consumable
13151, 0, 0, Consumable
11616, 0, 0, Consumable
13152, 0, 0, Consumable
12385, 0, 0, Consumable
13153, 0, 0, Consumable
13154, 0, 0, Consumable
6244, 0, 0, Consumable
22118, 0, 0, Consumable
34151, 0, 0, Consumable
5224, 0, 0, Consumable
34152, 0, 0, Consumable
5225, 0, 0, Consumable
34153, 0, 0, Consumable
34154, 0, 0, Consumable
34155, 0, 0, Consumable
22124, 0, 0, Consumable
34156, 0, 0, Consumable
22125, 0, 0, Consumable
3438, 0, 0, Consumable
22126, 0, 0, Consumable
22127, 0, 0, Consumable
27504, 0, 0, Consumable
22129, 0, 0, Consumable
40308, 0, 0, Consumable
19063, 0, 0, Consumable
54647, 0, 0, Consumable
23163, 0, 0, Consumable
23164, 0, 0, Consumable
46717, 0, 0, Consumable
54653, 0, 0, Consumable
28036, 0, 0, Consumable
23175, 0, 0, Consumable
23176, 0, 0, Consumable
45705, 0, 0, Consumable
52361, 0, 0, Consumable
20365, 0, 0, Consumable
29585, 0, 0, Consumable
32913, 0, 0, Consumable
12439, 0, 0, Consumable
1176, 0, 0, Consumable
12441, 0, 0, Consumable
50076, 0, 0, Consumable
32669, 0, 0, Consumable
20386, 0, 0, Consumable
21922, 0, 0, Consumable
18595, 0, 0, Consumable
23715, 0, 0, Consumable
44964, 0, 0, Consumable
23718, 0, 0, Consumable
23719, 0, 0, Consumable
32424, 0, 0, Consumable
20905, 0, 0, Consumable
23209, 0, 0, Consumable
23721, 0, 0, Consumable
23210, 0, 0, Consumable
23722, 0, 0, Consumable
32426, 0, 0, Consumable
50091, 0, 0, Consumable
50092, 0, 0, Consumable
50093, 0, 0, Consumable
11182, 0, 0, Consumable
23982, 0, 0, Consumable
1199, 0, 0, Consumable
11183, 0, 0, Consumable
39600, 0, 0, Consumable
10419, 0, 0, Consumable
29877, 0, 0, Consumable
5046, 0, 0, Consumable
5047, 0, 0, Consumable
54455, 0, 0, Consumable
26046, 0, 0, Consumable
26047, 0, 0, Consumable
36799, 0, 0, Consumable
33217, 0, 0, Consumable
6852, 0, 0, Consumable
42437, 0, 0, Consumable
49349, 0, 0, Consumable
17350, 0, 0, Consumable
23496, 0, 0, Consumable
21961, 0, 0, Consumable
34250, 0, 0, Consumable
1995, 0, 0, Consumable
34251, 0, 0, Consumable
34252, 0, 0, Consumable
21965, 0, 0, Consumable
21966, 0, 0, Consumable
21967, 0, 0, Consumable
10448, 0, 0, Consumable
21968, 0, 0, Consumable
10449, 0, 0, Consumable
21969, 0, 0, Consumable
21970, 0, 0, Consumable
31954, 0, 0, Consumable
10451, 0, 0, Consumable
21971, 0, 0, Consumable
10452, 0, 0, Consumable
21972, 0, 0, Consumable
10453, 0, 0, Consumable
21973, 0, 0, Consumable
12246, 0, 0, Consumable
21974, 0, 0, Consumable
21976, 0, 0, Consumable
21977, 0, 0, Consumable
48601, 0, 0, Consumable
21978, 0, 0, Consumable
7388, 0, 0, Consumable
49372, 0, 0, Consumable
49373, 0, 0, Consumable
49374, 0, 0, Consumable
53476, 0, 0, Consumable
53477, 0, 0, Consumable
4842, 0, 0, Consumable
52202, 0, 0, Consumable
7147, 0, 0, Consumable
21739, 0, 0, Consumable
6638, 0, 0, Consumable
13294, 0, 0, Consumable
46319, 0, 0, Consumable
23794, 0, 0, Consumable
23795, 0, 0, Consumable
23796, 0, 0, Consumable
50164, 0, 0, Consumable
21238, 0, 0, Consumable
20473, 0, 0, Consumable
33785, 0, 0, Consumable
33786, 0, 0, Consumable
33787, 0, 0, Consumable
39163, 0, 0, Consumable
33788, 0, 0, Consumable
34046, 0, 0, Consumable
34047, 0, 0, Consumable
39971, 0, 1, Potion
37926, 0, 1, Potion
42548, 0, 1, Potion
30793, 0, 1, Potion
34646, 0, 1, Potion
23696, 0, 1, Potion
23698, 0, 1, Potion
2461, 0, 1, Potion
2462, 0, 1, Potion
1450, 0, 1, Potion
40677, 0, 1, Potion
40413, 0, 2, Elixir
36845, 0, 2, Elixir
46336, 0, 3, Flask
34641, 0, 3, Flask
49768, 0, 4, Scroll
43468, 0, 4, Scroll
44572, 0, 5, Food & Drink
33822, 0, 5, Food & Drink
17199, 0, 5, Food & Drink
1072, 0, 5, Food & Drink
8243, 0, 5, Food & Drink
4418, 0, 5, Food & Drink
44620, 0, 5, Food & Drink
45901, 0, 5, Food & Drink
42590, 0, 5, Food & Drink
1119, 0, 5, Food & Drink
8543, 0, 5, Food & Drink
29293, 0, 5, Food & Drink
35710, 0, 5, Food & Drink
23172, 0, 5, Food & Drink
1165, 0, 5, Food & Drink
5265, 0, 5, Food & Drink
23704, 0, 5, Food & Drink
41374, 0, 5, Food & Drink
12211, 0, 5, Food & Drink
49863, 0, 5, Food & Drink
34770, 0, 5, Food & Drink
29402, 0, 5, Food & Drink
12763, 0, 5, Food & Drink
40667, 0, 5, Food & Drink
36831, 0, 5, Food & Drink
43496, 0, 5, Food & Drink
21236, 0, 5, Food & Drink
21240, 0, 5, Food & Drink
38916, 0, 6, Item Enhancement
38952, 0, 6, Item Enhancement
40776, 0, 6, Item Enhancement
43097, 0, 6, Item Enhancement
40800, 0, 6, Item Enhancement
41091, 0, 6, Item Enhancement
39300, 0, 6, Item Enhancement
41093, 0, 6, Item Enhancement
41605, 0, 6, Item Enhancement
41111, 0, 6, Item Enhancement
38377, 0, 6, Item Enhancement
38378, 0, 6, Item Enhancement
44646, 0, 7, Bandage
38641, 0, 7, Bandage
46852, 0, 8, Other
22021, 0, 8, Other
22022, 0, 8, Other
22023, 0, 8, Other
32775, 0, 8, Other
22024, 0, 8, Other
22025, 0, 8, Other
17162, 0, 8, Other
22026, 0, 8, Other
17163, 0, 8, Other
22027, 0, 8, Other
22028, 0, 8, Other
22029, 0, 8, Other
22030, 0, 8, Other
22031, 0, 8, Other
22032, 0, 8, Other
22033, 0, 8, Other
22034, 0, 8, Other
22035, 0, 8, Other
22036, 0, 8, Other
22037, 0, 8, Other
22038, 0, 8, Other
2071, 0, 8, Other
22039, 0, 8, Other
22040, 0, 8, Other
22041, 0, 8, Other
22043, 0, 8, Other
5406, 0, 8, Other
5407, 0, 8, Other
39972, 0, 8, Other
43302, 0, 8, Other
43303, 0, 8, Other
43304, 0, 8, Other
1321, 0, 8, Other
8493, 0, 8, Other
22584, 0, 8, Other
22585, 0, 8, Other
22586, 0, 8, Other
1851, 0, 8, Other
22587, 0, 8, Other
22588, 0, 8, Other
836, 0, 8, Other
6213, 0, 8, Other
40774, 0, 8, Other
38474, 0, 8, Other
4427, 0, 8, Other
38475, 0, 8, Other
1612, 0, 8, Other
38476, 0, 8, Other
38478, 0, 8, Other
31842, 0, 8, Other
31844, 0, 8, Other
31846, 0, 8, Other
5223, 0, 8, Other
31847, 0, 8, Other
1128, 0, 8, Other
23656, 0, 8, Other
31848, 0, 8, Other
5227, 0, 8, Other
5228, 0, 8, Other
1649, 0, 8, Other
3441, 0, 8, Other
20337, 0, 8, Other
1400, 0, 8, Other
1402, 0, 8, Other
2688, 0, 8, Other
39302, 0, 8, Other
39304, 0, 8, Other
30347, 0, 8, Other
29837, 0, 8, Other
29838, 0, 8, Other
29841, 0, 8, Other
23699, 0, 8, Other
29843, 0, 8, Other
23700, 0, 8, Other
29844, 0, 8, Other
23701, 0, 8, Other
29845, 0, 8, Other
39061, 0, 8, Other
5014, 0, 8, Other
29846, 0, 8, Other
5015, 0, 8, Other
29847, 0, 8, Other
12440, 0, 8, Other
29848, 0, 8, Other
29849, 0, 8, Other
29850, 0, 8, Other
29851, 0, 8, Other
29853, 0, 8, Other
30877, 0, 8, Other
29854, 0, 8, Other
29858, 0, 8, Other
38306, 0, 8, Other
17827, 0, 8, Other
29859, 0, 8, Other
17828, 0, 8, Other
17829, 0, 8, Other
17830, 0, 8, Other
29862, 0, 8, Other
18599, 0, 8, Other
1704, 0, 8, Other
29864, 0, 8, Other
29866, 0, 8, Other
24491, 0, 8, Other
29867, 0, 8, Other
38571, 0, 8, Other
23725, 0, 8, Other
29869, 0, 8, Other
29870, 0, 8, Other
23727, 0, 8, Other
29871, 0, 8, Other
23728, 0, 8, Other
5041, 0, 8, Other
29873, 0, 8, Other
3507, 0, 8, Other
11443, 0, 8, Other
5045, 0, 8, Other
951, 0, 8, Other
3768, 0, 8, Other
23224, 0, 8, Other
32952, 0, 8, Other
5049, 0, 8, Other
12729, 0, 8, Other
18105, 0, 8, Other
18106, 0, 8, Other
3773, 0, 8, Other
31167, 0, 8, Other
32965, 0, 8, Other
32966, 0, 8, Other
32967, 0, 8, Other
23245, 0, 8, Other
16086, 0, 8, Other
17882, 0, 8, Other
17883, 0, 8, Other
17884, 0, 8, Other
17885, 0, 8, Other
24541, 0, 8, Other
17887, 0, 8, Other
17888, 0, 8, Other
17889, 0, 8, Other
17890, 0, 8, Other
17891, 0, 8, Other
17892, 0, 8, Other
17893, 0, 8, Other
16102, 0, 8, Other
17894, 0, 8, Other
16103, 0, 8, Other
17895, 0, 8, Other
16104, 0, 8, Other
17896, 0, 8, Other
16105, 0, 8, Other
17897, 0, 8, Other
16106, 0, 8, Other
17898, 0, 8, Other
18666, 0, 8, Other
16107, 0, 8, Other
17899, 0, 8, Other
18667, 0, 8, Other
16108, 0, 8, Other
18668, 0, 8, Other
18669, 0, 8, Other
12526, 0, 8, Other
30191, 0, 8, Other
1267, 0, 8, Other
30195, 0, 8, Other
1268, 0, 8, Other
1269, 0, 8, Other
30198, 0, 8, Other
30199, 0, 8, Other
761, 0, 8, Other
1533, 0, 8, Other
46845, 0, 8, Other
46846, 0, 8, Other
13330, 1, 0, Bag
35874, 1, 0, Bag
806, 1, 0, Bag
2115, 1, 0, Bag
1100, 1, 0, Bag
30806, 1, 0, Bag
855, 1, 0, Bag
4501, 1, 0, Bag
930, 1, 0, Bag
931, 1, 0, Bag
38059, 1, 0, Bag
184, 1, 0, Bag
1724, 1, 0, Bag
965, 1, 0, Bag
22233, 1, 0, Bag
3298, 1, 0, Bag
3568, 1, 0, Bag
21313, 1, 1, Soul Bag
21193, 1, 1, Soul Bag
21194, 1, 1, Soul Bag
21195, 1, 1, Soul Bag
21857, 1, 2, Herb Bag
34464, 1, 2, Herb Bag
34466, 1, 4, Engineering Bag
38307, 1, 8, Inscription Bag
24320, 2, 0, Axe One handed
30208, 2, 0, Axe One handed
34816, 2, 0, Axe One handed
42240, 2, 0, Axe One handed
30209, 2, 0, Axe One handed
50433, 2, 0, Axe One handed
12290, 2, 0, Axe One handed
25859, 2, 0, Axe One handed
29444, 2, 0, Axe One handed
33542, 2, 0, Axe One handed
24327, 2, 0, Axe One handed
45575, 2, 0, Axe One handed
33544, 2, 0, Axe One handed
29705, 2, 0, Axe One handed
29706, 2, 0, Axe One handed
2827, 2, 0, Axe One handed
29707, 2, 0, Axe One handed
29708, 2, 0, Axe One handed
29709, 2, 0, Axe One handed
29710, 2, 0, Axe One handed
29711, 2, 0, Axe One handed
29712, 2, 0, Axe One handed
44056, 2, 0, Axe One handed
33049, 2, 0, Axe One handed
49689, 2, 0, Axe One handed
14874, 2, 0, Axe One handed
49690, 2, 0, Axe One handed
14875, 2, 0, Axe One handed
49691, 2, 0, Axe One handed
14876, 2, 0, Axe One handed
14877, 2, 0, Axe One handed
23582, 2, 0, Axe One handed
14880, 2, 0, Axe One handed
34080, 2, 0, Axe One handed
43296, 2, 0, Axe One handed
14881, 2, 0, Axe One handed
14882, 2, 0, Axe One handed
41764, 2, 0, Axe One handed
47396, 2, 0, Axe One handed
33318, 2, 0, Axe One handed
33320, 2, 0, Axe One handed
14893, 2, 0, Axe One handed
13104, 2, 0, Axe One handed
26672, 2, 0, Axe One handed
26673, 2, 0, Axe One handed
19762, 2, 0, Axe One handed
26674, 2, 0, Axe One handed
26675, 2, 0, Axe One handed
48947, 2, 0, Axe One handed
26676, 2, 0, Axe One handed
26677, 2, 0, Axe One handed
17462, 2, 0, Axe One handed
26678, 2, 0, Axe One handed
3895, 2, 0, Axe One handed
26679, 2, 0, Axe One handed
26680, 2, 0, Axe One handed
13625, 2, 0, Axe One handed
26681, 2, 0, Axe One handed
39993, 2, 0, Axe One handed
47161, 2, 0, Axe One handed
26682, 2, 0, Axe One handed
33594, 2, 0, Axe One handed
26683, 2, 0, Axe One handed
12348, 2, 0, Axe One handed
26684, 2, 0, Axe One handed
26685, 2, 0, Axe One handed
45630, 2, 0, Axe One handed
32065, 2, 0, Axe One handed
38721, 2, 0, Axe One handed
32066, 2, 0, Axe One handed
34883, 2, 0, Axe One handed
19014, 2, 0, Axe One handed
33094, 2, 0, Axe One handed
19015, 2, 0, Axe One handed
38216, 2, 0, Axe One handed
50251, 2, 0, Axe One handed
34637, 2, 0, Axe One handed
50256, 2, 0, Axe One handed
12629, 2, 0, Axe One handed
40534, 2, 0, Axe One handed
24409, 2, 0, Axe One handed
32604, 2, 0, Axe One handed
40540, 2, 0, Axe One handed
40542, 2, 0, Axe One handed
50526, 2, 0, Axe One handed
4965, 2, 0, Axe One handed
29541, 2, 0, Axe One handed
43625, 2, 0, Axe One handed
49774, 2, 0, Axe One handed
1904, 2, 0, Axe One handed
31600, 2, 0, Axe One handed
1905, 2, 0, Axe One handed
29809, 2, 0, Axe One handed
33649, 2, 0, Axe One handed
10611, 2, 0, Axe One handed
10612, 2, 0, Axe One handed
1909, 2, 0, Axe One handed
18293, 2, 0, Axe One handed
1910, 2, 0, Axe One handed
32886, 2, 0, Axe One handed
32887, 2, 0, Axe One handed
31353, 2, 0, Axe One handed
4730, 2, 0, Axe One handed
39290, 2, 0, Axe One handed
23428, 2, 0, Axe One handed
1157, 2, 0, Axe One handed
2183, 2, 0, Axe One handed
5255, 2, 0, Axe One handed
35463, 2, 0, Axe One handed
21129, 2, 0, Axe One handed
33169, 2, 0, Axe One handed
33171, 2, 0, Axe One handed
39325, 2, 0, Axe One handed
40609, 2, 0, Axe One handed
18596, 2, 0, Axe One handed
5286, 2, 0, Axe One handed
43175, 2, 0, Axe One handed
32174, 2, 0, Axe One handed
5551, 2, 0, Axe One handed
32175, 2, 0, Axe One handed
47024, 2, 0, Axe One handed
1719, 2, 0, Axe One handed
47032, 2, 0, Axe One handed
23996, 2, 0, Axe One handed
33980, 2, 0, Axe One handed
33981, 2, 0, Axe One handed
33982, 2, 0, Axe One handed
20417, 2, 0, Axe One handed
12482, 2, 0, Axe One handed
35779, 2, 0, Axe One handed
46020, 2, 0, Axe One handed
30661, 2, 0, Axe One handed
14534, 2, 0, Axe One handed
25799, 2, 0, Axe One handed
37832, 2, 0, Axe One handed
27849, 2, 0, Axe One handed
27850, 2, 0, Axe One handed
34506, 2, 0, Axe One handed
37834, 2, 0, Axe One handed
34507, 2, 0, Axe One handed
29900, 2, 0, Axe One handed
34508, 2, 0, Axe One handed
34509, 2, 0, Axe One handed
34510, 2, 0, Axe One handed
34511, 2, 0, Axe One handed
34512, 2, 0, Axe One handed
34513, 2, 0, Axe One handed
34514, 2, 0, Axe One handed
34515, 2, 0, Axe One handed
12502, 2, 0, Axe One handed
39382, 2, 0, Axe One handed
34520, 2, 0, Axe One handed
21465, 2, 0, Axe One handed
34521, 2, 0, Axe One handed
34522, 2, 0, Axe One handed
34523, 2, 0, Axe One handed
41691, 2, 0, Axe One handed
34524, 2, 0, Axe One handed
5597, 2, 0, Axe One handed
34525, 2, 0, Axe One handed
5598, 2, 0, Axe One handed
34526, 2, 0, Axe One handed
5599, 2, 0, Axe One handed
36575, 2, 0, Axe One handed
30176, 2, 0, Axe One handed
39137, 2, 0, Axe One handed
42211, 2, 0, Axe One handed
30180, 2, 0, Axe One handed
29413, 2, 0, Axe One handed
31205, 2, 0, Axe One handed
17382, 2, 0, Axe One handed
29414, 2, 0, Axe One handed
31206, 2, 0, Axe One handed
32743, 2, 0, Axe One handed
37608, 2, 0, Axe One handed
29417, 2, 0, Axe One handed
29418, 2, 0, Axe One handed
1259, 2, 0, Axe One handed
29419, 2, 0, Axe One handed
30699, 2, 0, Axe One handed
29422, 2, 0, Axe One handed
30702, 2, 0, Axe One handed
11762, 2, 0, Axe One handed
11763, 2, 0, Axe One handed
20979, 2, 0, Axe One handed
47347, 2, 0, Axe One handed
29430, 2, 0, Axe One handed
42230, 2, 0, Axe One handed
29433, 2, 0, Axe One handed
30715, 2, 0, Axe One handed
42235, 2, 0, Axe One handed
29436, 2, 0, Axe One handed
29437, 2, 0, Axe One handed
29438, 2, 0, Axe One handed
33790, 2, 0, Axe One handed
42238, 2, 0, Axe One handed
42239, 2, 0, Axe One handed
19200, 2, 1, Axe Two handed
43008, 2, 1, Axe Two handed
19201, 2, 1, Axe Two handed
34817, 2, 1, Axe Two handed
50434, 2, 1, Axe Two handed
7940, 2, 1, Axe Two handed
49156, 2, 1, Axe Two handed
12294, 2, 1, Axe Two handed
43532, 2, 1, Axe Two handed
20238, 2, 1, Axe Two handed
47118, 2, 1, Axe Two handed
47376, 2, 1, Axe Two handed
49681, 2, 1, Axe Two handed
33301, 2, 1, Axe Two handed
14870, 2, 1, Axe Two handed
39447, 2, 1, Axe Two handed
1311, 2, 1, Axe Two handed
21286, 2, 1, Axe Two handed
30502, 2, 1, Axe Two handed
33319, 2, 1, Axe Two handed
40487, 2, 1, Axe Two handed
21034, 2, 1, Axe Two handed
34093, 2, 1, Axe Two handed
41261, 2, 1, Axe Two handed
50221, 2, 1, Axe Two handed
49198, 2, 1, Axe Two handed
20784, 2, 1, Axe Two handed
34096, 2, 1, Axe Two handed
34097, 2, 1, Axe Two handed
14643, 2, 1, Axe Two handed
11317, 2, 1, Axe Two handed
32565, 2, 1, Axe Two handed
48949, 2, 1, Axe Two handed
17463, 2, 1, Axe Two handed
20280, 2, 1, Axe Two handed
20796, 2, 1, Axe Two handed
33597, 2, 1, Axe Two handed
39741, 2, 1, Axe Two handed
26686, 2, 1, Axe Two handed
26687, 2, 1, Axe Two handed
26688, 2, 1, Axe Two handed
26689, 2, 1, Axe Two handed
26690, 2, 1, Axe Two handed
26691, 2, 1, Axe Two handed
26692, 2, 1, Axe Two handed
26693, 2, 1, Axe Two handed
26694, 2, 1, Axe Two handed
26695, 2, 1, Axe Two handed
26696, 2, 1, Axe Two handed
26697, 2, 1, Axe Two handed
26698, 2, 1, Axe Two handed
26699, 2, 1, Axe Two handed
21580, 2, 1, Axe Two handed
11342, 2, 1, Axe Two handed
34638, 2, 1, Axe Two handed
42320, 2, 1, Axe Two handed
38481, 2, 1, Axe Two handed
40537, 2, 1, Axe Two handed
33116, 2, 1, Axe Two handed
19809, 2, 1, Axe Two handed
19811, 2, 1, Axe Two handed
32612, 2, 1, Axe Two handed
38244, 2, 1, Axe Two handed
43111, 2, 1, Axe Two handed
43623, 2, 1, Axe Two handed
32875, 2, 1, Axe Two handed
34668, 2, 1, Axe Two handed
38509, 2, 1, Axe Two handed
49773, 2, 1, Axe Two handed
41583, 2, 1, Axe Two handed
30577, 2, 1, Axe Two handed
31601, 2, 1, Axe Two handed
33650, 2, 1, Axe Two handed
31604, 2, 1, Axe Two handed
45174, 2, 1, Axe Two handed
51322, 2, 1, Axe Two handed
50043, 2, 1, Axe Two handed
23420, 2, 1, Axe Two handed
30848, 2, 1, Axe Two handed
29833, 2, 1, Axe Two handed
13706, 2, 1, Axe Two handed
29834, 2, 1, Axe Two handed
14475, 2, 1, Axe Two handed
49291, 2, 1, Axe Two handed
44172, 2, 1, Axe Two handed
44948, 2, 1, Axe Two handed
25493, 2, 1, Axe Two handed
50581, 2, 1, Axe Two handed
12951, 2, 1, Axe Two handed
33177, 2, 1, Axe Two handed
33178, 2, 1, Axe Two handed
44191, 2, 1, Axe Two handed
38304, 2, 1, Axe Two handed
40608, 2, 1, Axe Two handed
30625, 2, 1, Axe Two handed
32421, 2, 1, Axe Two handed
32422, 2, 1, Axe Two handed
5287, 2, 1, Axe Two handed
42919, 2, 1, Axe Two handed
5288, 2, 1, Axe Two handed
5289, 2, 1, Axe Two handed
12461, 2, 1, Axe Two handed
5552, 2, 1, Axe Two handed
29620, 2, 1, Axe Two handed
30388, 2, 1, Axe Two handed
20149, 2, 1, Axe Two handed
29621, 2, 1, Axe Two handed
29622, 2, 1, Axe Two handed
32182, 2, 1, Axe Two handed
22199, 2, 1, Axe Two handed
29623, 2, 1, Axe Two handed
29880, 2, 1, Axe Two handed
29881, 2, 1, Axe Two handed
47034, 2, 1, Axe Two handed
32699, 2, 1, Axe Two handed
7612, 2, 1, Axe Two handed
39359, 2, 1, Axe Two handed
24512, 2, 1, Axe Two handed
28354, 2, 1, Axe Two handed
44227, 2, 1, Axe Two handed
21192, 2, 1, Axe Two handed
53963, 2, 1, Axe Two handed
24524, 2, 1, Axe Two handed
24525, 2, 1, Axe Two handed
19662, 2, 1, Axe Two handed
30414, 2, 1, Axe Two handed
12754, 2, 1, Axe Two handed
29651, 2, 1, Axe Two handed
38099, 2, 1, Axe Two handed
29652, 2, 1, Axe Two handed
29653, 2, 1, Axe Two handed
39381, 2, 1, Axe Two handed
29654, 2, 1, Axe Two handed
29655, 2, 1, Axe Two handed
41175, 2, 1, Axe Two handed
29656, 2, 1, Axe Two handed
45528, 2, 1, Axe Two handed
29657, 2, 1, Axe Two handed
29658, 2, 1, Axe Two handed
29659, 2, 1, Axe Two handed
29660, 2, 1, Axe Two handed
44252, 2, 1, Axe Two handed
29661, 2, 1, Axe Two handed
29662, 2, 1, Axe Two handed
49886, 2, 1, Axe Two handed
29663, 2, 1, Axe Two handed
29665, 2, 1, Axe Two handed
30178, 2, 1, Axe Two handed
17383, 2, 1, Axe Two handed
49645, 2, 1, Axe Two handed
19184, 2, 1, Axe Two handed
19185, 2, 1, Axe Two handed
19186, 2, 1, Axe Two handed
18419, 2, 1, Axe Two handed
19187, 2, 1, Axe Two handed
40435, 2, 1, Axe Two handed
19188, 2, 1, Axe Two handed
19189, 2, 1, Axe Two handed
19190, 2, 1, Axe Two handed
19191, 2, 1, Axe Two handed
19192, 2, 1, Axe Two handed
45048, 2, 1, Axe Two handed
19193, 2, 1, Axe Two handed
19194, 2, 1, Axe Two handed
19195, 2, 1, Axe Two handed
19196, 2, 1, Axe Two handed
33276, 2, 1, Axe Two handed
49148, 2, 1, Axe Two handed
12285, 2, 1, Axe Two handed
19197, 2, 1, Axe Two handed
19198, 2, 1, Axe Two handed
19199, 2, 1, Axe Two handed
19455, 2, 1, Axe Two handed
24326, 2, 2, Bow
49158, 2, 2, Bow
36617, 2, 2, Bow
47122, 2, 2, Bow
42775, 2, 2, Bow
38168, 2, 2, Bow
14105, 2, 2, Bow
37919, 2, 2, Bow
19490, 2, 2, Bow
14118, 2, 2, Bow
38185, 2, 2, Bow
21036, 2, 2, Bow
20278, 2, 2, Bow
40759, 2, 2, Bow
34873, 2, 2, Bow
14394, 2, 2, Bow
32826, 2, 2, Bow
39994, 2, 2, Bow
32827, 2, 2, Bow
20299, 2, 2, Bow
50510, 2, 2, Bow
23889, 2, 2, Bow
20313, 2, 2, Bow
26714, 2, 2, Bow
52058, 2, 2, Bow
13147, 2, 2, Bow
26715, 2, 2, Bow
26716, 2, 2, Bow
26717, 2, 2, Bow
30557, 2, 2, Bow
31325, 2, 2, Bow
26718, 2, 2, Bow
26719, 2, 2, Bow
26720, 2, 2, Bow
26721, 2, 2, Bow
49761, 2, 2, Bow
26722, 2, 2, Bow
26723, 2, 2, Bow
26724, 2, 2, Bow
26725, 2, 2, Bow
32613, 2, 2, Bow
26726, 2, 2, Bow
26727, 2, 2, Bow
31083, 2, 2, Bow
5748, 2, 2, Bow
31348, 2, 2, Bow
39032, 2, 2, Bow
49022, 2, 2, Bow
37249, 2, 2, Bow
5258, 2, 2, Bow
5259, 2, 2, Bow
5260, 2, 2, Bow
5261, 2, 2, Bow
5262, 2, 2, Bow
20368, 2, 2, Bow
41360, 2, 2, Bow
36755, 2, 2, Bow
4763, 2, 2, Bow
19868, 2, 2, Bow
42140, 2, 2, Bow
47014, 2, 2, Bow
42921, 2, 2, Bow
5290, 2, 2, Bow
5548, 2, 2, Bow
30390, 2, 2, Bow
39101, 2, 2, Bow
49862, 2, 2, Bow
33991, 2, 2, Bow
3028, 2, 2, Bow
34263, 2, 2, Bow
34264, 2, 2, Bow
43224, 2, 2, Bow
34265, 2, 2, Bow
32730, 2, 2, Bow
34266, 2, 2, Bow
34267, 2, 2, Bow
34268, 2, 2, Bow
35804, 2, 2, Bow
34269, 2, 2, Bow
3038, 2, 2, Bow
34270, 2, 2, Bow
34271, 2, 2, Bow
34272, 2, 2, Bow
34273, 2, 2, Bow
34274, 2, 2, Bow
34275, 2, 2, Bow
34276, 2, 2, Bow
34277, 2, 2, Bow
34278, 2, 2, Bow
34279, 2, 2, Bow
34280, 2, 2, Bow
34281, 2, 2, Bow
30452, 2, 2, Bow
2550, 2, 2, Bow
34039, 2, 2, Bow
30456, 2, 2, Bow
49914, 2, 2, Bow
38395, 2, 2, Bow
42493, 2, 2, Bow
19966, 2, 2, Bow
24319, 2, 2, Bow
28165, 2, 3, Gun
11021, 2, 3, Gun
